old_url,lang,title,file
https://innotek.uz/,ru,Купить стеллажи в Ташкенте | Innotek,content\index.md
https://innotek.uz/%d0%b2%d1%8a%d0%b5%d0%b7%d0%b4%d0%bd%d1%8b%d0%b5-%d0%bd%d0%b0%d0%b1%d0%b8%d0%b2%d0%bd%d1%8b%d0%b5/,ru,"Въездные набивные стеллажи в Ташкенте, Узбекистане — складские системы Innotek",content\въездные-набивные.md
https://innotek.uz/%d0%ba%d0%b0%d0%b1%d0%b5%d0%bb%d1%8c%d0%bd%d1%8b%d0%b5-%d1%81%d1%82%d0%b5%d0%bb%d0%bb%d0%b0%d0%b6%d0%b8/,ru,"Кабельные стеллажи в Ташкенте, Узбекистане — системы хранения Innotek",content\кабельные-стеллажи.md
https://innotek.uz/%d0%ba%d0%be%d0%bd%d0%b2%d0%b5%d0%b9%d0%b5%d1%80%d0%bd%d1%8b%d0%b5-%d0%bb%d0%b8%d0%bd%d0%b8%d0%b8/,ru,Купить конвейерные линии в Ташкенте и Узбекистане | Innotek,content\конвейерные-линии.md
https://innotek.uz/%d0%ba%d0%be%d0%bd%d1%81%d0%be%d0%bb%d1%8c%d0%bd%d1%8b%d0%b5/,ru,"Консольные стеллажи в Ташкенте, Узбекистане — складские системы Innotek",content\консольные.md
https://innotek.uz/%d0%bb%d0%b5%d0%bd%d1%82%d0%be%d1%87%d0%bd%d1%8b%d0%b5-%d0%ba%d0%be%d0%bd%d0%b2%d0%b5%d0%b9%d0%b5%d1%80%d1%8b/,ru,Купить ленточные конвейеры в Ташкенте и Узбекистане | Innotek,content\ленточные-конвейеры.md
https://innotek.uz/%d0%bc%d0%b5%d0%b1%d0%b5%d0%bb%d1%8c-%d0%b4%d0%bb%d1%8f-%d0%bf%d1%80%d0%be%d0%b8%d0%b7%d0%b2%d0%be%d0%b4%d1%81%d1%82%d0%b2%d0%b0/,ru,Купить мебель для производства в Ташкенте и Узбекистане | Innotek,content\мебель-для-производства.md
https://innotek.uz/%d0%bc%d0%b5%d0%b1%d0%b5%d0%bb%d1%8c-%d0%b4%d0%bb%d1%8f-%d1%80%d0%b0%d0%b7%d0%b4%d0%b5%d0%b2%d0%b0%d0%bb%d0%be%d0%ba/,ru,Купить мебель для раздевалок в Ташкенте и Узбекистане | Innotek,content\мебель-для-раздевалок.md
https://innotek.uz/%d0%bc%d0%b5%d0%b7%d0%be%d0%bd%d0%b8%d0%bd%d0%bd%d1%8b%d0%b5/,ru,"Мезонинные стеллажи в Ташкенте, Узбекистане — многоуровневые системы Innotek",content\мезонинные.md
https://innotek.uz/%d0%bc%d0%b5%d1%82%d0%b0%d0%bb%d0%bb%d0%b8%d1%87%d0%b5%d1%81%d0%ba%d0%b0%d1%8f-%d0%bc%d0%b5%d0%b1%d0%b5%d0%bb%d1%8c/,ru,Купить металлическую мебель в Ташкенте и Узбекистане | Innotek,content\металлическая-мебель.md
